Sequence,Alpha_v,Epsilon_v,Zeta_H,Zeta_L,Beta_p,Epsilon_p,Zeta_p,Entropy_Norm_Min,Pose_Chi2_Norm_Min,Culled_Norm_Min,W_THR,D_THR,Activation_Function,Adaptive,RMSE_Quaternion_Angular_Deg,RMSE_Euler_Deg,RMSE_Velocity,RMSE_Position,RMSE_Accel_Bias,RMSE_Gyro_Bias
MH04,5,2,1,0,1,1,1,0,1,0,0.25,0.99,casef (s=3.0),False,0.5998388974163876,[0.89513217 0.22162477 0.69070932],[0.26574639 0.30204793 0.17722717],[0.26354782 0.3495213  0.36331179],[0.0004229  0.00020032 0.00040969],[0.00063312 0.00019996 0.00043673]
MH05,5,2,1,0,1,1,1,0,1,0,0.25,0.99,casef (s=3.0),False,0.9456506506586486,[0.92911428 0.50676905 0.99579033],[0.14969252 0.21099681 0.14238799],[0.19767615 0.40718759 0.10224282],[0.00086701 0.00082007 0.0012482 ],[0.00055212 0.00042296 0.00037519]
MH03,5,2,1,0,1,1,1,0,1,0,0.25,0.99,casef (s=3.0),False,0.5485451549162652,[1.01223399 0.27215206 1.16877054],[0.09936326 0.11678381 0.18320204],[0.12001418 0.1206787  0.18228947],[0.00100591 0.00077295 0.00075738],[0.00037924 0.00042563 0.0002862 ]
MH02,5,2,1,0,1,1,1,0,1,0,0.25,0.99,casef (s=3.0),False,0.640644309770442,[1.74107812 0.33452202 1.67731372],[0.08316206 0.06369123 0.1062771 ],[0.05994497 0.06954782 0.04655986],[0.00031567 0.00065594 0.00059614],[0.00021965 0.00041442 0.00017875]
MH01,5,2,1,0,1,1,1,0,1,0,0.25,0.99,casef (s=3.0),False,1.986471502547953,[4.48372894 0.98337514 3.75791539],[0.30591439 0.29099871 0.20405843],[0.19130025 0.2359356  0.17544241],[0.00493704 0.00753315 0.00186177],[0.00105459 0.0011826  0.00074053]
MH04,5,2,1,0,1,1,1,0,1,0,0.25,0.99,casef (s=3.0),True,0.4198376363552852,[0.58006587 0.13159924 0.54405981],[0.2454996  0.24264056 0.15735462],[0.17485886 0.281041   0.29486496],[0.00055558 0.0002935  0.00034295],[1.22062643e-04 2.51637354e-05 1.12768555e-04]
MH05,5,2,1,0,1,1,1,0,1,0,0.25,0.99,casef (s=3.0),True,0.8297445528369128,[0.52526817 0.46277277 0.77617506],[0.14321766 0.20931543 0.14085736],[0.19753813 0.41682311 0.12663346],[0.00061537 0.00015204 0.00054311],[4.45401153e-04 5.15765866e-05 1.75558492e-04]
MH03,5,2,1,0,1,1,1,0,1,0,0.25,0.99,casef (s=3.0),True,0.727560105114867,[0.45208648 0.11578343 0.76606697],[0.09909984 0.11123722 0.18721187],[0.11244917 0.12687287 0.20688819],[1.06497089e-03 2.57494514e-04 8.39531463e-05],[0.00035611 0.00010035 0.00011282]
MH02,5,2,1,0,1,1,1,0,1,0,0.25,0.99,casef (s=3.0),True,0.6623419046386355,[1.60245087 0.31694685 1.57292297],[0.08179274 0.06452796 0.10690498],[0.05871556 0.07524122 0.04724986],[0.00018112 0.00023145 0.00021756],[0.0002156  0.00020676 0.00028858]
MH01,5,2,1,0,1,1,1,0,1,0,0.25,0.99,casef (s=3.0),True,2.568257408928737,[1.43742949 0.46187332 3.04249037],[0.30344335 0.2895757  0.20242014],[0.20788293 0.25565756 0.1645983 ],[0.00093794 0.00067061 0.00101547],[0.0005504  0.00011492 0.00023247]
